timestamp,predicted,actual,correct,softmax_probabilities
2026-05-08T05:02:20,0,1,False,0.12688528 0.09406484 0.09537454 0.09222234 0.10974497 0.09241226 0.09237268 0.09416900 0.09332392 0.10943016
2026-05-08T05:02:27,2,2,True,0.08963833 0.10038069 0.17756266 0.09027383 0.08873039 0.08860013 0.08872311 0.09126958 0.09608918 0.08873210
2026-05-08T05:02:32,5,5,True,0.08556627 0.08549585 0.08546491 0.08564597 0.08546391 0.22309271 0.09000301 0.08546142 0.08808344 0.08572252
2026-05-08T05:02:38,0,0,True,0.20856860 0.08592295 0.08849250 0.08699839 0.08663245 0.08723187 0.09028488 0.08761100 0.08945681 0.08880055
2026-05-08T05:02:42,1,1,True,0.09261578 0.12399901 0.11999738 0.10143671 0.09477419 0.09146772 0.09209209 0.09284504 0.09712985 0.09364224
2026-05-08T05:02:47,9,1,False,0.09771001 0.09134245 0.09371623 0.09283022 0.11197540 0.09223656 0.09031258 0.10612063 0.09295421 0.13080170
2026-05-08T05:02:53,9,1,False,0.09887730 0.09180363 0.09686908 0.09546278 0.09884703 0.09287888 0.09089648 0.10947120 0.09733947 0.12755414
2026-05-08T05:02:57,1,1,True,0.08737696 0.14808798 0.14436095 0.09157684 0.08743243 0.08863356 0.08878460 0.08802644 0.08889357 0.08682667
2026-05-08T05:03:12,8,8,True,0.08975112 0.09597577 0.09120877 0.10331216 0.09806362 0.09050522 0.09013752 0.09034871 0.15393216 0.09676494
2026-05-08T05:03:19,6,6,True,0.09117448 0.08840764 0.08980786 0.08806235 0.08810500 0.11356995 0.16243366 0.08778522 0.10225506 0.08839878
2026-05-08T05:03:54,1,1,True,0.08905122 0.16917846 0.10594622 0.09229216 0.08945288 0.09100747 0.09279030 0.08900441 0.09252551 0.08875136
2026-05-08T05:03:55,1,1,True,0.08905122 0.16917846 0.10594622 0.09229216 0.08945288 0.09100747 0.09279030 0.08900441 0.09252551 0.08875136
2026-05-08T05:03:58,2,2,True,0.08837483 0.09518417 0.20009967 0.08866322 0.08611262 0.08624764 0.08629714 0.09529880 0.08753451 0.08618741
2026-05-08T05:04:06,4,1,False,0.09338281 0.09050670 0.09018105 0.09036219 0.14541495 0.09071019 0.08920593 0.10735457 0.08997445 0.11290717
2026-05-08T05:04:14,6,6,False,0.09997238 0.09508917 0.08857711 0.08699490 0.12579481 0.09307190 0.14886174 0.08773986 0.08675538 0.08714275
2026-05-08T05:04:19,4,4,True,0.08931855 0.08860047 0.08982539 0.08862954 0.19635478 0.08825295 0.09069798 0.08796567 0.08784116 0.09251352
2026-05-08T05:04:22,6,6,True,0.09249186 0.08947806 0.08962687 0.08943476 0.08944363 0.11091940 0.16464478 0.08941621 0.09500269 0.08954175
2026-05-08T05:04:30,9,9,True,0.09315944 0.09292927 0.09317345 0.10496061 0.09347819 0.10770437 0.09279093 0.09308722 0.09735847 0.13135805
2026-05-08T05:04:34,8,8,True,0.08755334 0.08797492 0.08825597 0.09060187 0.08746493 0.09055041 0.08776198 0.08752812 0.20462394 0.08768451
2026-05-08T05:04:39,7,7,True,0.09111615 0.09127976 0.09921613 0.09400632 0.09123350 0.09108804 0.09108013 0.16804739 0.09158107 0.09135151
2026-05-08T05:04:42,0,0,True,0.21651911 0.08617744 0.08842731 0.08661770 0.08621110 0.08687828 0.08741801 0.08682883 0.08753571 0.08738650
2026-05-08T17:47:47,1,1,True,0.08799567 0.18176137 0.08972943 0.09018773 0.09742022 0.08890578 0.09301446 0.09147441 0.09136472 0.08814620
2026-05-08T17:47:56,2,2,True,0.10254380 0.10379454 0.11376283 0.09612304 0.09137383 0.09289487 0.08830196 0.10922099 0.09496442 0.10701972
2026-05-08T17:48:02,3,3,True,0.08593012 0.08837279 0.08728993 0.20827743 0.08602275 0.09395444 0.08590729 0.08847697 0.08779838 0.08796991
2026-05-08T17:48:06,4,4,True,0.08862001 0.08966897 0.09308625 0.08885831 0.19191225 0.08714691 0.09113530 0.08825925 0.08919170 0.09212104
2026-05-08T17:48:09,0,0,True,0.17563636 0.08780141 0.09562307 0.09444575 0.08749038 0.09689739 0.09061419 0.09133770 0.09085580 0.08929795
2026-05-08T17:48:13,1,1,True,0.08731669 0.17973943 0.08994889 0.09398063 0.09684239 0.08905326 0.08964295 0.09333591 0.09070785 0.08943200
2026-05-08T17:48:20,9,9,True,0.08720354 0.08671195 0.08624663 0.09273690 0.09177170 0.09101712 0.08575158 0.10579280 0.08953079 0.18323699
2026-05-08T17:48:25,8,8,True,0.08933989 0.08819875 0.09571964 0.09685508 0.08750891 0.08958570 0.08817669 0.08792771 0.18778105 0.08890657
2026-05-08T17:48:28,7,7,True,0.08829930 0.09384706 0.09494057 0.09508479 0.08700448 0.08715795 0.08659322 0.18723782 0.08856778 0.09126702
2026-05-08T17:40:37,1,1,True,0.10372251 0.13684687 0.10233235 0.08818495 0.09660978 0.08823657 0.10061893 0.08825247 0.10579825 0.08939732
2026-05-08T17:40:44,2,2,True,0.09414131 0.09175341 0.18737153 0.09273660 0.08734892 0.08781652 0.08740353 0.09518347 0.08827918 0.08796554
2026-05-08T17:40:54,6,6,True,0.09763518 0.08791554 0.10422198 0.08751407 0.08729861 0.08924501 0.15509729 0.08691635 0.11701826 0.08713772
2026-05-08T17:40:59,7,7,True,0.09006981 0.09025868 0.10333408 0.09526300 0.08871994 0.08905916 0.08823882 0.17167694 0.08954648 0.09383310
2026-05-08T17:41:04,9,9,True,0.09148216 0.09164842 0.09141831 0.09182375 0.09555017 0.09188654 0.09124738 0.09394076 0.11636596 0.14463655
2026-05-08T17:41:15,3,3,True,0.08585217 0.08631983 0.08767167 0.22306781 0.08596501 0.08613584 0.08585838 0.08641973 0.08678171 0.08592786
2026-05-08T17:41:25,0,0,True,0.20781559 0.08598661 0.09246141 0.08758460 0.08593697 0.08811851 0.08903179 0.08706726 0.08906218 0.08693509
2026-05-08T17:41:33,7,1,False,0.09399382 0.09718393 0.10097214 0.10973987 0.09380054 0.09380518 0.09371019 0.11790763 0.10411333 0.09477338
2026-05-08T17:41:41,1,1,True,0.10285750 0.12150663 0.10160729 0.08983966 0.10157739 0.08938131 0.09979165 0.08927511 0.11170032 0.09246313
2026-05-08T17:41:49,2,2,True,0.08777156 0.08682633 0.21578224 0.08738184 0.08570526 0.08571093 0.08572580 0.09227343 0.08705390 0.08576871
2026-05-08T17:43:09,8,8,True,0.09227786 0.09026060 0.10432584 0.11525892 0.09216861 0.10008479 0.10423017 0.08839435 0.12362991 0.08936894
2026-05-08T17:43:23,4,4,True,0.08863934 0.08965081 0.09041696 0.08958022 0.15762229 0.08882238 0.08867571 0.09003707 0.09037910 0.12617612
2026-05-09T00:55:08,1,1,True,0.10289474 0.12414704 0.09675589 0.09070307 0.10484784 0.08871300 0.09881460 0.08801559 0.10961537 0.09549285
2026-05-09T00:55:31,2,2,True,0.09320849 0.09476335 0.18050655 0.09509577 0.08798993 0.08863824 0.08811692 0.09424314 0.08885733 0.08858028
2026-05-09T01:00:08,8,8,True,0.08973557 0.08813044 0.10110011 0.10408514 0.08779644 0.08802437 0.08815214 0.08816374 0.17702052 0.08779152
2026-05-09T01:00:15,0,0,True,0.20792315 0.08701860 0.09036965 0.08779345 0.08701461 0.08786305 0.08746071 0.08818734 0.08790345 0.08846598
2026-05-09T01:00:19,0,0,True,0.21810751 0.08560057 0.08927603 0.08636011 0.08553084 0.08659776 0.08767533 0.08674169 0.08794638 0.08616377
2026-05-09T01:00:25,0,0,True,0.18693271 0.08709967 0.09072280 0.09019696 0.08721568 0.09557483 0.09150068 0.08920781 0.09178905 0.08975980
2026-05-09T01:00:29,1,1,True,0.10212541 0.12431530 0.09665952 0.09195293 0.10314435 0.08916445 0.09806502 0.08830224 0.11122099 0.09504978
2026-05-09T01:00:35,1,1,True,0.09770889 0.16357475 0.08982894 0.08829071 0.10639380 0.08995828 0.09513001 0.08948316 0.08962849 0.09000297
2026-05-09T01:00:43,8,1,False,0.10754234 0.09976372 0.09319221 0.09204239 0.09851987 0.09182436 0.09195225 0.09256490 0.12969236 0.10290560
2026-05-09T01:00:53,8,8,True,0.09329748 0.09166946 0.10388220 0.11337068 0.09054882 0.09115065 0.09252882 0.09440801 0.13896636 0.09017752
2026-05-09T15:34:22,1,1,True,0.08801141 0.19110150 0.08736072 0.08603641 0.09235770 0.09116294 0.09911940 0.08988496 0.08915439 0.08581057
2026-05-09T15:34:27,2,2,True,0.08990569 0.09008195 0.16406068 0.10815967 0.08914436 0.08841776 0.08850618 0.10189573 0.09100088 0.08882710
2026-05-09T15:34:31,3,3,True,0.09054934 0.11098560 0.09334144 0.12352282 0.09758083 0.09651496 0.09035305 0.10118328 0.09103776 0.10493091
2026-05-09T15:34:33,4,4,True,0.08883223 0.10392326 0.08833305 0.08833891 0.16076864 0.09159034 0.09522056 0.08984356 0.09108404 0.10206543
2026-05-09T15:34:36,4,4,True,0.09373034 0.09878582 0.09629339 0.10435762 0.12314693 0.09415348 0.09469929 0.10246216 0.09608324 0.09628771
